Modo,Restriccion,Accuracy,Precision,Recall,F1,FNR,TP,FP,TN,FN
Tier 1 (determinista),Sin TACC,0.8571,1.0000,0.7600,0.8636,0.2400,19,0,17,6
Tier 1 (determinista),Sin Lactosa,0.8333,1.0000,0.5000,0.6667,0.5000,7,0,28,7
Tier 1 (determinista),Sin Frutos Secos,0.8333,0.0000,0.0000,0.0000,1.0000,0,0,35,7
Tier 1 (determinista),Vegano,0.8333,1.0000,0.7200,0.8372,0.2800,18,0,17,7
Tier 1 + Alergenos,Sin TACC,1.0000,1.0000,1.0000,1.0000,0.0000,25,0,17,0
Tier 1 + Alergenos,Sin Lactosa,1.0000,1.0000,1.0000,1.0000,0.0000,14,0,28,0
Tier 1 + Alergenos,Sin Frutos Secos,1.0000,1.0000,1.0000,1.0000,0.0000,7,0,35,0
Tier 1 + Alergenos,Vegano,1.0000,1.0000,1.0000,1.0000,0.0000,25,0,17,0
Solo códigos INS/E,Sin TACC,0.5952,0.5952,1.0000,0.7463,0.0000,25,17,0,0
Solo códigos INS/E,Sin Lactosa,0.3333,0.3333,1.0000,0.5000,0.0000,14,28,0,0
Solo códigos INS/E,Sin Frutos Secos,0.1667,0.1667,1.0000,0.2857,0.0000,7,35,0,0
Solo códigos INS/E,Vegano,0.4048,0.0000,0.0000,0.0000,1.0000,0,0,17,25
Solo keywords,Sin TACC,0.6190,0.6098,1.0000,0.7576,0.0000,25,16,1,0
Solo keywords,Sin Lactosa,0.4524,0.3784,1.0000,0.5490,0.0000,14,23,5,0
Solo keywords,Sin Frutos Secos,0.2381,0.1622,0.8571,0.2727,0.1429,6,31,4,1
Solo keywords,Vegano,0.8333,1.0000,0.7200,0.8372,0.2800,18,0,17,7
Solo ingredientes seguros,Sin TACC,0.6667,0.6410,1.0000,0.7813,0.0000,25,14,3,0
Solo ingredientes seguros,Sin Lactosa,0.4048,0.3590,1.0000,0.5283,0.0000,14,25,3,0
Solo ingredientes seguros,Sin Frutos Secos,0.2381,0.1795,1.0000,0.3043,0.0000,7,32,3,0
Solo ingredientes seguros,Vegano,0.4048,0.0000,0.0000,0.0000,1.0000,0,0,17,25
